City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Verkhnevilyuysk,RU,63.4453,120.3167,14.95,89,73,1.34,broken clouds
287,Caluquembe,AO,-13.7833,14.6833,60.58,98,100,4.72,moderate rain
288,Tessalit,ML,20.1986,1.0114,83.28,9,0,7.27,clear sky
289,Grottammare,IT,42.9888,13.8649,43.83,69,89,6.11,overcast clouds
290,Kavaratti,IN,10.5669,72.642,82.13,71,2,2.89,clear sky
291,Ahipara,NZ,-35.1667,173.1667,69.73,73,100,0.94,light rain
292,Visby,SE,57.6409,18.296,33.82,74,100,8.05,overcast clouds
293,Inirida,CO,3.8653,-67.9239,74.91,95,39,3.13,scattered clouds
294,Korla,CN,41.7597,86.1469,54.05,31,38,5.64,scattered clouds
295,Laguna,US,38.421,-121.4238,80.89,20,0,9.22,clear sky
296,Kruisfontein,ZA,-34.0033,24.7314,60.89,94,100,8.66,light rain
297,El Alto,PE,-4.2714,-81.2147,70.75,80,100,17.0,overcast clouds
298,Chistoye,RU,56.5375,43.0045,33.17,98,100,8.34,light snow
299,Honiara,SB,-9.4333,159.95,85.33,70,46,5.82,scattered clouds
300,Verkhnyaya Inta,RU,65.9811,60.3094,0.43,95,82,5.37,broken clouds
301,Lavrentiya,RU,65.5833,-171.0,12.0,69,0,12.95,clear sky
302,Bourges,FR,47.25,2.4167,33.39,96,96,7.07,overcast clouds
303,Carnarvon,AU,-24.8667,113.6333,78.87,89,100,5.75,overcast clouds
304,Jalapa,MX,19.5333,-96.9167,64.58,86,100,1.07,overcast clouds
305,Samarai,PG,-10.6167,150.6667,83.12,70,100,10.69,overcast clouds
306,Ancud,CL,-41.8697,-73.8203,46.22,77,97,10.47,light rain
307,Phan Thiet,VN,10.9333,108.1,81.61,68,57,2.73,broken clouds
308,Wasilla,US,61.5814,-149.4394,45.95,42,0,13.8,clear sky
309,Labuhan,ID,-6.8844,112.2051,81.79,76,75,4.27,broken clouds
310,Shimonoseki,JP,33.95,130.95,56.28,33,0,5.68,clear sky
311,Sturgis,US,41.7992,-85.4192,41.07,92,100,4.61,moderate rain
312,Paveh,IR,35.0434,46.3565,52.63,37,0,1.63,clear sky
313,Byron Bay,AU,-28.65,153.6167,81.72,64,47,9.44,scattered clouds
314,Grand-Lahou,CI,5.1367,-5.0242,79.29,88,100,9.04,light rain
315,Alugan,PH,12.2188,125.4808,81.01,78,94,11.36,moderate rain
316,Saint-Joseph,RE,-21.3667,55.6167,72.1,88,100,13.82,moderate rain
317,Artyom,AZ,40.4723,50.333,68.14,64,0,25.86,clear sky
318,Carutapera,BR,-1.195,-46.02,75.47,95,100,5.06,overcast clouds
319,Manjacaze,MZ,-24.7117,33.8828,71.02,88,34,6.15,light rain
320,Yuksekova,TR,37.5736,44.2872,35.8,67,0,2.48,clear sky
321,Kapuskasing,CA,49.4169,-82.4331,32.81,100,100,4.07,overcast clouds
322,Rawson,AR,-43.3002,-65.1023,64.4,63,100,24.9,overcast clouds
323,Sao Filipe,CV,14.8961,-24.4956,70.59,80,30,2.3,scattered clouds
324,Ariquemes,BR,-9.9133,-63.0408,69.24,99,35,2.13,scattered clouds
325,Stornoway,GB,58.2093,-6.3865,31.96,93,100,3.44,overcast clouds
326,Moosomin,CA,50.1333,-101.6677,24.04,93,100,4.74,overcast clouds
327,Nioro,GM,13.35,-15.75,76.17,31,100,9.26,overcast clouds
328,Beidao,CN,34.5686,105.8933,54.82,59,96,10.87,overcast clouds
329,Sahuaripa,MX,29.05,-109.2333,83.86,11,0,11.99,clear sky
330,Teplyk,UA,48.6657,29.745,38.98,74,100,8.84,overcast clouds
331,Yulara,AU,-25.2406,130.9889,73.96,27,0,10.45,clear sky
332,Sinnamary,GF,5.3833,-52.95,78.08,87,96,12.82,overcast clouds
333,Adrar,MR,20.5022,-10.0711,75.54,13,0,9.1,clear sky
334,Villamontes,BO,-21.25,-63.5,66.56,57,100,1.9,overcast clouds
335,Bayji,IQ,34.9311,43.487,69.51,23,0,4.59,clear sky
336,Broken Hill,AU,-31.95,141.4333,66.06,38,62,2.3,broken clouds
337,Skibbereen,IE,51.55,-9.2667,44.11,88,9,7.25,clear sky
338,Bucerias,MX,20.75,-105.3333,73.98,78,0,11.5,clear sky
339,Talnakh,RU,69.4865,88.3972,4.21,96,99,5.55,overcast clouds
340,La Palma,US,33.8464,-118.0467,66.87,73,100,10.36,overcast clouds
341,Geraldton,AU,-28.7667,114.6,77.41,83,100,9.22,overcast clouds
342,Haverfordwest,GB,51.8017,-4.9691,37.54,91,18,5.64,few clouds
343,Cabo San Lucas,MX,22.8909,-109.9124,78.1,69,40,13.8,scattered clouds
344,Chisec,GT,15.8167,-90.2833,78.98,70,0,3.62,clear sky
345,Jiuquan,CN,39.7432,98.5174,51.19,11,9,4.56,clear sky
346,Constantine,DZ,36.365,6.6147,35.01,80,0,0.0,clear sky
347,Miraflores,MX,19.2167,-98.8083,79.45,31,25,3.89,scattered clouds
348,Ust-Kan,RU,50.9276,84.761,28.08,82,64,3.62,broken clouds
