City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Kutum,SD,71.58,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
193,Chuy,UY,62.62,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
196,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
198,Martapura,ID,83.14,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
199,Naruja,GE,50.32,overcast clouds,41.9069,41.9542,PREMIUM family sweet apartment OAZIS DREAM
200,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
201,Qandala,SO,82.54,clear sky,11.472,49.8728,
202,Xining,CN,41.7,overcast clouds,36.6167,101.7667,Super Leisure Hotel
203,Nelson Bay,AU,73.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
205,Luderitz,,58.21,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
207,Naron,ES,46.02,few clouds,43.5167,-8.1528,Marcial
208,Itarema,BR,74.8,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
210,Sarakhs,IR,61.14,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
211,Tefe,BR,71.2,light rain,-3.3542,-64.7114,Aracati Hotel
212,Chester,US,45.18,clear sky,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
213,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
214,Merauke,ID,83.14,broken clouds,-8.4667,140.3333,
215,Mansa,IN,68.22,clear sky,29.9833,75.3833,STARiHOTEL Mansa
217,Bethel,US,45.93,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
218,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
219,Gat,IL,74.39,overcast clouds,31.61,34.7642,OlusHome
220,Dongli,CN,60.49,overcast clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
221,Hami,CN,51.91,scattered clouds,42.8,93.45,Laoyutang Resort
224,Gazojak,TM,59.67,broken clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
226,Yashkul,RU,57.54,overcast clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
227,Aleksandriyskaya,RU,47.03,overcast clouds,44.2272,43.3453,
228,Medicine Hat,CA,51.85,few clouds,50.0501,-110.6683,Sun Dek Motel
229,Hambantota,LK,78.28,clear sky,6.1241,81.1185,Bungalow 63
231,Pilar,BR,73.33,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
232,Buala,SB,82.74,light rain,-8.145,159.5921,Maringe Lagoon Lodge
233,Guanare,VE,83.73,clear sky,9.0418,-69.7421,Nuevo Hotel Coromoto
234,Matadi,CD,76.3,light rain,-5.8167,13.45,Hotel Vivi Palace
238,Codrington,AU,63.86,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
239,Padang,ID,75.25,few clouds,-0.9492,100.3543,Mercure Padang
240,Hofn,IS,41.04,moderate rain,64.2539,-15.2082,Hótel Höfn
241,Kamiiso,JP,45.99,clear sky,41.8167,140.65,Business Inn Abe
242,Richards Bay,ZA,70.52,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
243,Barranca,PE,68.77,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
245,Comrat,MD,47.21,overcast clouds,46.3003,28.6572,Caral
246,Pucallpa,PE,75.24,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
247,Kushima,JP,58.46,overcast clouds,31.4583,131.2333,Hanaoka
249,Tetouan,MA,53.94,overcast clouds,35.5711,-5.3724,Athens Hôtel
251,Tsabong,BW,71.4,clear sky,-26.0217,22.401,Springbok Motel
252,Silchar,IN,73.83,clear sky,24.8167,92.8,Hotel Borail View
